<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.02	11:40:00	91433	91486	91369	91401	6630	24706	1
2018.04.02	11:45:00	91406	91427	91278	91315	8834	33095	1
2018.04.02	11:50:00	91315	91315	90953	90974	16205	62884	1
2018.04.02	11:55:00	90974	91033	90963	90979	6809	28360	1
2018.04.02	12:00:00	90979	91011	90905	91006	8151	32778	1
2018.04.02	12:05:00	91001	91006	90889	90974	8028	31126	1
2018.04.02	12:10:00	90974	91027	90931	90947	5556	21246	1
2018.04.02	12:15:00	90947	91006	90867	90995	8958	32677	1
2018.04.02	12:20:00	90995	91022	90889	90974	6617	24756	1
2018.04.02	12:25:00	90974	91006	90867	91006	6675	24582	1
2018.04.02	12:30:00	91001	91065	90947	90969	6623	25399	1
2018.04.02	12:35:00	90969	90974	90649	90686	18202	72134	1
2018.04.02	12:40:00	90691	90777	90611	90718	10309	40450	1
2018.04.02	12:45:00	90723	90841	90643	90830	9166	38146	1
2018.04.02	12:50:00	90825	90883	90729	90862	8274	32271	1
2018.04.02	12:55:00	90862	90942	90814	90851	7089	30589	1
2018.04.02	13:00:00	90851	90953	90819	90931	7264	29156	1
2018.04.02	13:05:00	90931	90937	90611	90697	12767	52761	1
2018.04.02	13:10:00	90697	90734	90531	90633	12147	49713	1
2018.04.02	13:15:00	90633	90718	90569	90675	6435	23533	1
2018.04.02	13:20:00	90675	90803	90665	90697	6811	27178	1
2018.04.02	13:25:00	90691	90819	90638	90766	6302	24858	1
2018.04.02	13:30:00	90761	90857	90755	90814	4754	16599	1
2018.04.02	13:35:00	90814	90889	90793	90809	4463	15451	1
2018.04.02	13:40:00	90803	91001	90777	90953	7799	27681	1
2018.04.02	13:45:00	90953	90990	90894	90969	4246	15263	1
2018.04.02	13:50:00	90963	90985	90862	90878	4781	17514	1
2018.04.02	13:55:00	90878	90985	90835	90931	5653	22048	1
2018.04.02	14:00:00	90931	91043	90809	90857	9891	38470	1
2018.04.02	14:05:00	90857	90910	90825	90846	3450	14748	1
2018.04.02	14:10:00	90846	90931	90846	90878	3750	15126	1
2018.04.02	14:15:00	90878	90995	90862	90926	5820	20749	1
2018.04.02	14:20:00	90926	90958	90771	90830	6151	21816	1
2018.04.02	14:25:00	90830	90835	90665	90681	9977	40545	1
2018.04.02	14:30:00	90681	90819	90665	90819	6554	26453	1
2018.04.02	14:35:00	90814	90894	90777	90814	6879	25953	1
2018.04.02	14:40:00	90814	90835	90611	90617	9329	35149	1
2018.04.02	14:45:00	90622	90659	90510	90542	10352	42651	1
